"movie","year","rating","rewatch","score","date_watched","previous_score","notes","review_link"
"All the Beauty and the Bloodshed","2022","3","","53","2023-08-20","","",""
"Batman","1989","2.5","","44","2023-08-18","","",""
"OMG 2","2023","1","","15","2023-08-15","","",""
"Easy Rider","1969","3","","51","2023-08-14","","",""
"The Passenger","1975","3","","55","2023-08-13","","",""
"Close","2022","3.5","","67","2023-08-13","","",""
"Say Anything...","1989","4.5","yes","83","2023-08-03","69","",""
"All the President's Men","1976","4","","71","2023-08-03","","",""
"Rocky Aur Rani Kii Prem Kahaani","2023","1.5","","24","2023-07-31","","",""
"The Prestige","2006","4","yes","75","2023-07-30","67","",""
"Oppenheimer","2023","3.5","","66","2023-07-29","","",""
"Barbie","2023","2.5","","44","2023-07-27","","",""
"Secretary","2002","2.5","","45","2023-07-23","","",""
"The Worst Person in the World","2021","3.5","","63","2023-07-22","","",""
"Luck by Chance","2009","3.5","yes","61","2023-07-20","","",""
"Mission: Impossible - Rogue Nation","2015","2.5","yes","47","2023-07-16","","",""
"Mission: Impossible – Dead Reckoning","2023","2.5","","43","2023-07-15","","",""
"Mission: Impossible - Ghost Protocol","2011","3","yes","54","2023-07-14","","",""
"Mission: Impossible III","2006","3","yes","53","2023-07-14","","",""
"E.T. the Extra-Terrestrial","1982","","","","2023-07-14","","",""
"Gangs of Wasseypur – Part 1","2012","4.5","yes","85","2023-07-12","","",""
"Moonstruck","1987","2.5","","46","2023-07-11","","",""
"They Shoot Horses, Don't They?","1969","4","","77","2023-07-09","","",""
"Past Lives","2023","3.5","","61","2023-07-08","","",""
"The Holiday","2006","","","","2023-07-03","","",""
"Satyaprem Ki Katha","2023","","","","2023-06-30","","",""
"Rebel Without a Cause","1955","3","","56","2023-06-29","","",""
"The Heiress","1949","4","","73","2023-06-29","","",""
"All About Eve","1950","3.5","","67","2023-06-26","","",""
"No Hard Feelings","2023","1.5","","26","2023-06-25","","",""
"It Happened One Night","1934","3","","59","2023-06-24","","",""
"Hera Pheri","2000","3.5","yes","63","2023-06-23","","",""
"Black Mirror: Beyond the Sea","2023","","","","2023-06-21","","",""
"Singin' in the Rain","1952","3.5","","61","2023-06-18","","",""
"Bedazzled","2000","","","","2023-06-18","","",""
"The Girl Next Door","2004","2.5","","50","2023-06-16","","",""
"Love Story","1970","","","","2023-06-15","","",""
"War","2019","1.5","","22","2023-06-14","","",""
"Pathaan","2023","1","","13","2023-06-14","","",""
"Anbe Sivam","2003","2","","36","2023-06-13","","",""
"Bottle Rocket","1996","","","","2023-06-08","","",""
"Spider-Man: Across the Spider-Verse","2023","3","","52","2023-06-02","","",""
"Peeping Tom","1960","3","","58","2023-05-26","","",""
"John Wick: Chapter 4","2023","2.5","","44","2023-05-26","","",""
"Air","2023","2.5","","49","2023-05-24","","",""
